 有信仰的人不怕死٩(๑❛ᴗ❛๑)۶
                
                
 真的很感人，小灵芝是每一个中国少年的好榜样。现在我们活在来之不易的和平年代，还有什么理由不努力呢？两个一百年的伟大理想切记不能忘却，为了无数为了共产主义事业而献身的人们。好电影！
         呃，那她妈是谁。
         ？啥玩意主旋律？就算要思想宣传也不是你这样的啊？
         主旋律的渲染太硬了，给一星都嫌高了……
         所以尹灵芝她妈是谁
         虽然没看过电影，就这名字，顾名思义，能先给差评
         信仰啊 她不是个东西
         不解释
                
                
 太经典
         七一果然来了
         题材是个好题材，就是让编剧给糟蹋了
         哎呦呦好可怕，信党得永生
         嗯 党不是一个人的党，是是十三亿人的党，导演意义何在？
         能再低点吗
         可以，这片名很一星
         国家请不起水军吗？刚才看了一个sb只发过一遍评论看过一个电影然后5星好评，大部分5星都是7.1注册的情况基本一样，亲爱的党你们水军是请不起吗？一点没起到刷分刷评的作用
         我是负分，来操我吧！
                
                
 看到片名一星肯定不会错
         还是现在的小孩好，过去俺们都是被学校强迫去看这类题材的电影。拍得好当然教育人，拍成这样，简直亵渎革命题材。
        
