 这些影评倒是笑死人
                
                
 匪军翻天
         烂片！烂片！
         长江风雨民族殇，百万土匪过大江。打过长江去，祸害全中国。这电影该叫南京南京
         主旋律的影片，但是拍的并不好，主旋律题材怎么拍才能好看是个很难的问题哎
         那家打的五星
         电影频道在放看了点…标准的国民党炮弹炸人堆一个没炸死  真的是侮辱先烈
         我也不评论了，～～～～～～～～，我报警
         哈哈哈 来打分。    嘻嘻 
         电影没看过，给1分就是任性
         好像时光网那里可以打负分的，河东狮吼2就是负分的
         看了影响健康。。。。 
         给个一星不解释，因为没有更烂
         一分献给党
         洗脑！洗脑！
         没看过，但是觉得很厉害，给个差评吧！
         同室操戈本来是民族悲剧，你拍电影出来既歌颂不了共产党，也诋毁不了国民党！
         大家黑，我也跟着黑好了。
                
                
 刷分
         烂片，烂到海枯石烂
                
                
