分析文本,积极情感,消极情感,sentiment,confidence
 集体组织去首映礼本没对这种题材电影抱任何想法，但看完却觉得惊喜，镜头很好，武戏也有彩，人物和故事都并不单薄。在当下的浮躁里，还有这样一批艺术者愿意踏实去创造这样一个作品，我充满敬意。,0.980192,0.0198085,2,0.955981
         这种题材嘛……,0.264723,0.735277,0,0.411726
         很重要的选题，可惜编剧就没有理清原委,0.602896,0.397104,2,0.117547
         还是鼓励一下吧，毕竟今天是七一建党节。,0.48555,0.51445,1,0.710994
