 默默刷了首映 结局实在太烂俗 但一想到有生之年都不一定等到中国拍出这种片子 忍不住给了五星
        
 终于有人把这个题材拍的青春搞笑诙谐轻松了 终于不用文艺路子长镜头了 证明了什么 这已经不是一个需要深度刻画的社会问题 而是社会生活的一部分 活在这样进步的文明社会里 真美好 大家都有追求爱的权利
                
                

 可爱、风趣、感人，主流银幕上独一无二的出柜故事。它没有负面挣扎，也没有安利说教，而是带着气势如虹的青春气息，让男主的一封封信和旁白见证成长。这样的校园类型片看完好想给男主一个抱抱！爱你，西蒙！❤️❤️❤️❤️❤️❤️❤️❤️❤️
                
                

 LGBT片终于进入mainstream而不用遮遮掩掩走文艺片路子 太感动太激动了。男主casting完美 那种纯真自然的感觉好喜欢！最美好的是first love 心动爱恋 无论同性异性。最出戏的是爸妈。
        
 如果最后blue是那个四分卫就圆满了
        
 It's not a perfectly normal life! It's Fucking DREAM life 好吗！！有理解你的父母，从小一起长大的发小，完美的家庭，超酷的朋友，优秀的爱人，你他妈的还拥有了我梦想中的房间！！！啊啊啊啊！！！反人类啊啊啊啊啊啊！！恨你，赛蒙！！！！！！！！！！！
        
 戳爷的歌就满分了好嘛。👏🏻👏🏻👏🏻
        
 尽管这是一篇洋洒着“正确”的命题作文，探讨的是一个有些“过时”的主题，但我还是被它从头到脚的温暖给融化了。同志年少时做过的所有美梦，都在电影里实现了：妈妈的一份理解，爸爸的一个拥抱，朋友的一份鼓励，还有月夜摩天轮里的那个定情一吻...哪怕这一切太过完美，我也愿在这梦里，长眠不醒。
        
 男主这个直男般的情商也是没谁了…心疼Leah
        
 一个wheel上简简单单的吻看得我一直在抓朋友的胳膊，发出了少女般羞怯却又激动难自抑的尖叫……真奇怪啊，这比两个人赤身裸体大战三百回合更打动人更让人感受到情动时候心尖上的颤栗。虽然说是太过合家欢看可是青春本来偶尔残酷灰暗，轻松一点处理也未尝不好哇。这兜兜转转到最后还是你，真好呀。
        
 爱你，西蒙他爸

    PS：西蒙和埃利奥是世界上最会投胎的男孩纸！
                
                

 老爸如果下载Grindr应该会家庭破裂：）
        
 赶上点映！很温暖的出柜片。主旨分为：猜猜谁是蓝朋友以及警告大家不要用公共场所的电脑收发邮件。配乐用黑胶切换很喜欢，但前半段摄影太晃了。然而全片最扎心的是Leah：无法随便，care about someone so much and that almost kills me.
        
 挑不出什么缺点 连俗气都是优点
        
 你们年轻人的胆儿真肥，网恋不看照片也敢直接奔现，万一blue是个肥丑挫该怎么办？
        
 虽然刻意俗套的片段不少，但还是看得十分开心！很可爱很青春的电影，注意力总被Simon桌子上的探险时光手办吸引哈哈！Nick Robinson挺可爱的！【一个心愿...不要又骂生活幸福的中产白人男孩了好么
        
 永远年轻，永远热泪盈眶，并不是钢铁摇滚直男的专利。
        
 西蒙被出柜之后，一直没有哭，和爸妈没沟通没哭，朋友误会离他而去没有哭，别人当众羞辱嘲笑他也没有哭……甚至还把妹妹弄哭了他都没哭。但在布鲁表示不再和他通信要消失并拒绝接受他邮件后，他终于哭了。说到底，爱让我们脆弱，爱让我们坚强。
        
 希望有生之年出柜电影不复存在。
        
 就像主题曲里吟唱的那样，香烟和草莓混着的味道，坏坏中透露着可爱。不算神作，但本片将在小众走向主流之路上举足轻重，这条路由《平常心》《断背山》《莫里斯》的疼痛铺垫而成。不是乌托邦，但本片哼唱着青春之歌里的美好瞬间令人流连，这些瞬间是藏在《怦然心动》《阳光小美女》《朱诺》里的光影魅力
        
 想到若干年后人们可以不屑一顾的说：“这种片子多的不能再多了”，就满怀期待的加上了两颗星。
        
 爱真好，想爱人，想被人爱，想和人一起困在摩天轮，携手上下，想接吻，想保有初恋的紧张和浪漫。
        
 【B-】操你妈我高中为什么没有去谈恋爱啊！我好气啊！
        
 今天真是太开心了，六点半起床去男朋友侄子家讲知乎live（他家网坏了）然后回去ooxx，睡了个觉，再和他侄子老婆还有三个孩子去散步吃冰淇淋，再去看了这部电影，完美 |｡･㉨･)っ♡　真的很好笑很甜，其实更推荐情侣一起观看 🙈
        
