分析文本,积极情感,消极情感,sentiment,confidence
 政治导向明显，客观来看是不符合历史事实的，画风还不错，帧数还挺连贯。毛主席的个人风采片,0.208255,0.791745,0,0.537211
         整体来看静帧有些过多，因为是动画，代入感稍差了点，配音配乐还行，整个历史事件交待的较清楚，动画版的历史教科书既视感。,0.343831,0.656169,0,0.235931
         通过这部影片，让我对那段历史有了更深刻的印象。,0.859755,0.140245,2,0.688344
 喷电影烂可以理解，借机辱骂先烈，没有人性。,0.181863,0.818137,0,0.59586
