 我为什么要在飞机上看这么烂的片...
         什么鬼

         说真的 要不好好拍 要不就别拍 
         好看，主旋律电影就是好看！说不好看的都是不客观。
         革命题材的电影、怀旧
                
                
 傻逼
                
                
 看着那个封面没忍住，过来打个一分。。（ˉ﹃ˉ）
                
                
 我爱中国g产d。真好看。
                
                
 这玩意真的有人看嘛
         给党生日的贺礼，
         那个……演毛爷爷的演员……那大双眼皮，那美瞳，哦天呀……
         为什么不能给0分，臭不要脸的广电总局
         去你妈个比，什么鸡8片也敢浪费胶片吗
         毛主席全程在“闹情绪”。
         无框眼镜？给一星，是因为最低只有一星
         呸呸呸
                
                
 好题材被拍成这样！这辣鸡怎么还不滚下去
         好。。。。。。
         真好看，特别好看，大家一定要去看哦，不要问我为什么，看看你胸前的红领巾、呵呵～
                
                
 乐啊 记忆
        
